budget,homepage,keywords,original_language,overview,viewercount,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_count,vote_average,Drama,Crime,War,TV Movie,Adventure,Western,Comedy,Science Fiction,Action,Thriller,Music,Horror,Foreign,Mystery,Fantasy,Romance,Documentary,Animation,History,Family
0.15625,http://www.maoslastdancermovie.com/,"[{""id"": 4328, ""name"": ""costume""}, {""id"": 4528, ""name"": ""song""}, {""id"": 5331, ""name"": ""village""}, {""id"": 6044, ""name"": ""promise""}, {""id"": 10551, ""name"": ""ballet""}]",4,"At the age of 11, Li was plucked from a poor Chinese village by Madame Mao's cultural delegates and taken to Beijing to study ballet. In 1979, during a cultural exchange to Texas, he fell in love with an American woman. Two years later, he managed to defect and went on to perform as a principal dancer for the Houston Ballet and as a principal artist with the Australian Ballet.",0.018141573890765428,"[{""name"": ""Great Scott Productions Pty. Ltd."", ""id"": 2814}]",21,2009-10-01,0.044750434125269994,0.4175824175824176,281,1,最后的舞者,0.00577293136626042,0.7358490566037736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.23750000000000002,Uknown,"[{""id"": 10988, ""name"": ""based on tv series""}, {""id"": 34079, ""name"": ""death""}, {""id"": 162410, ""name"": ""exploding planet""}, {""id"": 162415, ""name"": ""mountain cabin""}, {""id"": 162429, ""name"": ""solar system""}]",4,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,0.14517557830456204,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",333,1994-11-17,0.2591792656587473,0.4285714285714286,282,1,Boldly go.,0.14175753688261705,0.6603773584905661,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.14375,Uknown,"[{""id"": 212, ""name"": ""london england""}, {""id"": 4107, ""name"": ""british empire""}, {""id"": 4320, ""name"": ""lover""}, {""id"": 5212, ""name"": ""advancement""}, {""id"": 155697, ""name"": ""aristocrat""}, {""id"": 187056, ""name"": ""woman director""}]",4,"Beautiful, funny, passionate, and calculating, Becky is the orphaned daughter of a starving English artist and a French chorus girl. She yearns for a more glamorous life than her birthright promises and resolves to conquer English society by any means possible. A mere ascension into the heights of society is simply not enough. So Becky finds a patron in the powerful Marquess of Steyne whose whims enable Becky to realise her dreams. But is the ultimate cost too high for her?",0.06482429094194969,"[{""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Focus Features"", ""id"": 10146}]",221,2004-09-01,0.03482473218142551,0.6813186813186813,150,1,"On September 1st, a heroine will rise.",0.020205259781911483,0.49056603773584906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.325,http://www.frompariswithlovefilm.com/,"[{""id"": 90, ""name"": ""paris""}, {""id"": 591, ""name"": ""cia""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 1653, ""name"": ""explosive""}, {""id"": 1667, ""name"": ""pimp""}, {""id"": 1704, ""name"": ""ambassador""}, {""id"": 2095, ""name"": ""anti hero""}, {""id"": 4087, ""name"": ""revelation""}, {""id"": 4653, ""name"": ""french""}, {""id"": 6083, ""name"": ""politician""}, {""id"": 6112, ""name"": ""firearm""}, {""id"": 9758, ""name"": ""deception""}, {""id"": 9844, ""name"": ""car crash""}, {""id"": 10726, ""name"": ""gang""}]",4,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig, working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realizes that Charlie may be his only hope of survival.",0.2745234960867686,"[{""name"": ""Apipoula\u00ef"", ""id"": 1076}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""M6"", ""id"": 11261}, {""name"": ""W9"", ""id"": 34774}]",198,2010-02-05,0.11409631533477325,0.14285714285714288,52,1,Two agents. One city. No merci.,0.21327774214239897,0.6037735849056604,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.1625,Uknown,"[{""id"": 6118, ""name"": ""finances""}, {""id"": 179018, ""name"": ""stock broker""}, {""id"": 193889, ""name"": ""investment firm""}]",4,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",0.11026242776460529,"[{""name"": ""New Line Cinema"", ""id"": 12}]",333,2000-02-18,0.062160377969762454,0.4285714285714286,255,1,Welcome to the new American dream.,0.06125721616420782,0.679245283018868,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,Uknown,"[{""id"": 1563, ""name"": ""prisoner""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 4917, ""name"": ""shelter""}]",4,Escaped convict Sam Gillen single handedly takes on ruthless developers determined to evict Clydie - a widow with two young children. Nobody knows who Sam is.,0.11475467652453447,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",333,1993-01-15,0.0,0.16483516483516483,282,1,"When the law can't protect the innocent,  the only hero left is an outlaw.",0.034958306606799244,0.49056603773584906,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.375,http://www.sonypictures.com/movies/residentevilafterlife/site/,"[{""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 10327, ""name"": ""undead""}, {""id"": 11131, ""name"": ""biohazard""}, {""id"": 11738, ""name"": ""evil corporation""}, {""id"": 12102, ""name"": ""resident evil""}, {""id"": 12377, ""name"": ""zombie""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209714, ""name"": ""3d""}]",4,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",0.02076996515183241,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Davis-Films"", ""id"": 342}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}]",123,2010-09-09,0.648440786177106,0.1978021978021978,116,1,She's back...And she's bringing a few of her friends.,0.43393200769724183,0.5471698113207547,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0.15625,Uknown,"[{""id"": 795, ""name"": ""running""}, {""id"": 2070, ""name"": ""olympic games""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 10456, ""name"": ""athlete""}]",4,"The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash.",0.03756813556395633,"[{""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Warner Bros."", ""id"": 6194}]",333,1998-09-11,0.0016790993520518493,0.4175824175824176,282,1,PRE. The way he competed. The way he lived his life.,0.0028864656831302238,0.6226415094339623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048750000000000016,http://www.marsdistribution.com/xml/flash.html?cfilm=46022,"[{""id"": 212, ""name"": ""london england""}, {""id"": 293, ""name"": ""female nudity""}, {""id"": 515, ""name"": ""women""}, {""id"": 548, ""name"": ""countryside""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 1649, ""name"": ""provence""}, {""id"": 1655, ""name"": ""country house""}, {""id"": 1731, ""name"": ""writing""}, {""id"": 1732, ""name"": ""innkeeper""}, {""id"": 2200, ""name"": ""generations confilct""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 8181, ""name"": ""swimming pool""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10818, ""name"": ""author""}, {""id"": 14964, ""name"": ""drug""}]",4,"In the middle of this amusing thriller is a relationship between two different types of females, one is a well know British author and the other is a sex-crazed French teen. The two get into some relationship trouble while living together in this film of psychological imagery and an erotic exploration of the female body.",0.10797397588118007,"[{""name"": ""France 2 Cin\u00e9ma"", ""id"": 83}, {""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Fid\u00e9lit\u00e9 Productions"", ""id"": 147}, {""name"": ""Gimages"", ""id"": 148}, {""name"": ""FOZ"", ""id"": 149}, {""name"": ""Headforce Ltd."", ""id"": 150}]",169,2003-05-18,0.04846938012958965,0.25274725274725274,181,1,"On the surface, all is calm",0.04586273252084669,0.6603773584905661,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.375,Uknown,"[{""id"": 90, ""name"": ""paris""}, {""id"": 582, ""name"": ""san francisco""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 3136, ""name"": ""plantation""}, {""id"": 3143, ""name"": ""pity""}, {""id"": 4197, ""name"": ""bite""}, {""id"": 231407, ""name"": ""fang vamp""}]",4,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",0.49357005937311094,"[{""name"": ""Geffen Pictures"", ""id"": 360}]",333,1994-11-11,0.4830769071274299,0.4835164835164835,181,1,Drink from me and live forever,0.4830019243104554,0.8113207547169812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3125,http://www.zoolander.com/,"[{""id"": 6241, ""name"": ""stupidity""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 15479, ""name"": ""fashion""}, {""id"": 167193, ""name"": ""male model""}, {""id"": 167200, ""name"": ""fashion model""}, {""id"": 173242, ""name"": ""modeling""}]",4,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,0.36645944404877073,"[{""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Red Hour Films"", ""id"": 12178}]",333,2016-02-06,0.12088336933045359,0.23076923076923078,282,1,Long time no Z,0.25240538806927515,0.339622641509434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
